US Short Form Leads
NAUT8007609690201511201159LEAD00000100000067002316CUS-20477521               GAMEN120ALOBYTICTRC
NAUT8007609690201511201159LEAD00000100000072703479CUS-20477520               GAMEN120ALOBYTICTRC
NAUT8007609690201511201202LEAD00000100000092637949CUS-20477522               GAMEN120ALOBYTICTRC
NAUT8007609690201511201223LEAD00000100000055124952CUS-20477550               GAMEN120ALOBYTICTRC
NAUT8007609690201511201501LEAD00000100000096826808CUS-20477708               GAMEN120ALOBYTICTRC
NAUT8008117310201511201855LEAD00000100000078209410CUS-20477937               HDLNN60*JACKDTICBMT
NAUT8008531279201511200046LEAD00000100000095341209CUS-20477004               DESTN120KMV**TICTRC
NAUT8008594254201511201048LEAD00000100000074107918CUS-20477424               CENTN120HAMBYTICBMT
NAUT8008631384201511200742LEAD00000100000046227317CUS-20477212               THISN120KMV**TICTRC
NAUT8008631384201511201033LEAD00000100000019020215CUS-20477411               THISN120KMV**TICTRC
NAUT8008719981201511201232LEAD00000100000011375718CUS-17895744               HGTVN60*JACKDTICBMT
NAUT8009185197201511200710LEAD00000100000008753732CUS-20477186               SPKEN120JACKDTICBMT
NAUT8009185197201511200710LEAD00000100000045377937CUS-20477185               SPKEN120JACKDTICBMT
NAUT8009185197201511201024LEAD00000100000014622585CUS-20477398               SPKEN120JACKDTICBMT
NAUT8009185197201511201325LEAD00000100000092583951CUS-20477613               SPKEN120JACKDTICBMT
NAUT8009213024201511201540LEAD00000100000039283601CUS-20477756               M616P60*NOTSTTICBMT
NAUT8009213028201511201546LEAD00000100000055390763CUS-20477763               M617P60*NOTSTTICBMT
NAUT8009213028201511202333LEAD00000100000096080530CUS-20478113               M617P60*NOTSTTICBMT
NAUT8009213028201511202339LEAD00000100000039702662CUS-20478116               M617P60*NOTSTTICBMT
NAUT8009261768201511202244LEAD00000100000063146314CUS-20478089               HALLN60*WALKATICTRC
NAUT8009261768201511202251LEAD00000100000078573956CUS-20478095               HALLN60*WALKATICTRC
NAUT8009261768201511202258LEAD00000100000046221317CUS-20042514               HALLN60*WALKATICTRC
NAUT8009371930201511201709LEAD00000100000008724732CUS-11477212               CMESN60*JACKDTICBMT
NAUT8009524394201511200642LEAD00000100000062203618CUS-20477156               SCFIN60*JACKDTICBMT
NAUT8009524394201511200659LEAD00000100000033462561CUS-3715419               SCFIN60*JACKDTICBMT
NAUT8009526846201511201018LEAD00000100000073143405CUS-20477392               DWOMN60*WALKATICTRC
NAUT8009526846201511201223LEAD00000100000030810706CUS-20477551               DWOMN60*WALKATICTRC
NAUT8009527032201511201026LEAD00000100000083860208CUS-20477389               FOODN60*WALKATICTRC
NAUT8009527032201511201351LEAD00000100000076116817CUS-20477639               FOODN60*WALKATICTRC
NAUT8009527947201511201945LEAD00000100000084790801CUS-20404274               INSPN120KMV**TICTRC
NAUT8009527947201511201946LEAD00000100000038901662CUS-20477978               INSPN120KMV**TICTRC
NAUT8009527947201511201947LEAD00000100000031206478CUS-20477981               INSPN120KMV**TICTRC
NAUT8009527947201511202031LEAD00000100000077040713CUS-20478012               INSPN120KMV**TICTRC
NAUT8009529217201511201602LEAD00000100000046203317CUS-20477775               THISN120ALOBYTICTRC
NAUT8009529217201511201603LEAD00000100000002121617CUS-20477776               THISN120ALOBYTICTRC
NAUT8009529217201511201620LEAD00000100000055421612CUS-20477789               THISN120ALOBYTICTRC
NAUT8009531983201511201059LEAD00000100000019808302CUS-20477433               RELZ*N120HAMBYTICBMT
NAUT8009531983201511201059LEAD00000100000050312515CUS-20477436               RELZ*N120HAMBYTICBMT
NAUT8009561651201511200950LEAD00000100000042303270CUS-20477363               UPTVN120KMV**TICTRC
