US Short Form Leads
NAUT8006148461201409231052LEAD00000100000046072765CUS-19729022               HALMN120WALKATICTRC
NAUT8006148461201409231936LEAD00000100000080015303CUS-19729609               HALMN120WALKATICTRC
NAUT8006148461201409231941LEAD00000100000024266276CUS-19729611               HALMN120WALKATICTRC
NAUT8006148461201409232101LEAD00000100000011207718CUS-19729678               HALMN120WALKATICTRC
NAUT8006148461201409232200LEAD00000100000096819808CUS-19729708               HALMN120WALKATICTRC
NAUT8006172457201409231535LEAD00000100000092630949CUS-19729409               ION*N120WALKATICTRC
NAUT8006516384201409230752LEAD00000100000077447281CUS-19728769               INSPN120WALKATICTRC
NAUT8006516384201409230754LEAD00000100000031503912CUS-19728773               INSPN120WALKATICTRC
NAUT8006516384201409230754LEAD00000100000032455850CUS-19728777               INSPN120WALKATICTRC
NAUT8006516384201409230754LEAD00000100000070454985CUS-19728778               INSPN120WALKATICTRC
NAUT8006516384201409230820LEAD00000100000057552605CUS-19728765               INSPN120WALKATICTRC
NAUT8006516384201409231746LEAD00000100000026105304CUS-19729513               INSPN120WALKATICTRC
NAUT8006516384201409231946LEAD00000100000060649773CUS-19729614               INSPN120WALKATICTRC
NAUT8006516384201409232321LEAD00000100000028214794CUS-19729739               INSPN120WALKATICTRC
NAUT8006516583201409231315LEAD00000100000088023575CUS-19729233               DTANN60*NOTSTTICBMT
NAUT8006533024201409230745LEAD00000100000027858910CUS-19728751               SPKEN120GENTSTICTRC
NAUT8006533024201409230749LEAD00000100000033542813CUS-19728758               SPKEN120GENTSTICTRC
NAUT8006533024201409231031LEAD00000100000067337620CUS-19728988               SPKEN120GENTSTICTRC
NAUT8006533024201409231036LEAD00000100000019720302CUS-19728998               SPKEN120GENTSTICTRC
NAUT8006533024201409231043LEAD00000100000093402805CUS-19729004               SPKEN120GENTSTICTRC
NAUT8006533024201409231209LEAD00000100000089015702CUS-19729162               SPKEN120GENTSTICTRC
NAUT8006533024201409231210LEAD00000100000044646330CUS-19729164               SPKEN120GENTSTICTRC
NAUT8006533024201409231332LEAD00000100000085706520CUS-19729269               SPKEN120GENTSTICTRC
NAUT8006546989201409231101LEAD00000100000066043913CUS-19729049               TNTLL60*WALKATICTRC
NAUT8007835061201409232203LEAD00000100000085705520CUS-19729711               CLASP60*JRNEYWSTTRC
NAUT8007835119201409232202LEAD00000100000011550516CUS-19729710               CMGCP60*GRT2HWSTTRC
NAUT8007835135201409230546LEAD00000100000033801863CUS-19728673               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409231547LEAD00000100000020748240CUS-19729424               CMGDP60*GRT2HWSTTRC
NAUT8008591918201409230259LEAD00000100000055391310CUS-19728639               FOXNN120WALKATICTRC
NAUT8008591918201409230301LEAD00000100000024630276CUS-19728640               FOXNN120WALKATICTRC
NAUT8009257579201409230753LEAD00000100000006250860CUS-19728772               SPKEL60*WALKATICTRC
NAUT8009528187201409230950LEAD00000100000014770716CUS-19728925               ESPNL60*WALKATICTRC
NAUT8009563180201409231813LEAD00000100000076137817CUS-19729532               GAMLL120WALKATICTRC
