US Electronic Short Form Leads
NAUT8004368368201511091013ELED00000100000060153708CUS-20461188               DSETDIRTRC
NAUT8004368368201511091050ELED00000100000033584813CUS-20461257               SAWOTVTCTRC
NAUT8004368368201511091104ELED00000100000033880CUS-20461286               DSETDIRTRC
NAUT8004368368201511091111ELED00000100000079245CUS-20461293               DSETDIRTRC
NAUT8004368368201511091135ELED00000100000030189678CUS-20461338               DSETDIRTRC
NAUT8004368368201511091344ELED00000100000080807719CUS-20461523               DSETDIRTRC
NAUT8004368368201511091420ELED00000100000068066402CUS-20461574               DSETDIRTRC
NAUT8004368368201511091434ELED00000100000037857423CUS-20461592               DSETDIRTRC
NAUT8004368368201511091438ELED00000100000099004509CUS-20461600               DSETDIRTRC
NAUT8004368368201511091513ELED00000100000076240940CUS-20461642               DSETDIRTRC
NAUT8004368368201511091525ELED00000100000032179312CUS-20461664               DSETDIRTRC
NAUT8004368368201511091657ELED00000100000030663706CUS-20461775               DSETDIRTRC
NAUT8004368368201511091947ELED00000100000078028210CUS-20461955               DSETDIRTRC
NAUT8004368368201511092005ELED00000100000028650704CUS-20461972               DSETDIRTRC
NAUT8004368368201511092223ELED00000100000036451251CUS-20437192               DSETDIRTRC
NAUT8005258332201511091956ELED00000100000055746218CUS-20461965               DSEESF14EBMT
NAUT8005361847201511090555ELED00000100000016148724CUS-20460747               dseesf14dBMT
NAUT8005361847201511090902ELED00000100000016148724CUS-20461042               dseesf14dBMT
NAUT8005361847201511091349ELED00000100000029926843CUS-783482               dseesf14dBMT
NAUT8005361847201511091357ELED00000100000078221210CUS-10416253               dseesf14dBMT
NAUT8005361847201511091422ELED00000100000048065586CUS-20461575               dseesf14dBMT
NAUT8005361847201511091432ELED00000100000095826916CUS-20461590               dseesf14dBMT
NAUT8006566904201511090005ELED00000100000092108858CUS-20460582               DSEESF14HBMT
NAUT8006566904201511090231ELED00000100000030683706CUS-20460645               DSEESF14HBMT
NAUT8006566904201511090237ELED00000100000030554770CUS-20460648               DSEESF14HBMT
NAUT8006566904201511090747ELED00000100000005452802CUS-20460894               DSEESF14HBMT
NAUT8006566904201511091130ELED00000100000036527CUS-20461330               DSEESF14HBMT
NAUT8006566904201511091136ELED00000100000025404304CUS-5567271               DSEESF14HBMT
NAUT8006566904201511091615ELED00000100000087105CUS-20461721               DSEESF14HBMT
NAUT8006566904201511091650ELED00000100000051560712CUS-10682368               DSEESF14HBMT
NAUT8007075879201511091021ELED00000100000023947434CUS-20461203               SAWSF11ETRC
NAUT8007206360201511091025ELED00000100000083328CUS-20461209               DSETSF15BTRC
NAUT8007206360201511091326ELED00000100000060457708CUS-20461484               DSETSF15BTRC
NAUT8007206360201511091537ELED00000100000077048713CUS-20461675               DSETSF15BTRC
NAUT8007206360201511091927ELED00000100000035756256CUS-20461933               DSETSF15BTRC
