US Short Form Leads
NAUT8003518887201601311736LEAD00000100000030132770CUS-20684201               PIVTN180JACFSTICBMT
NAUT8003582499201601311036LEAD00000100000081520970CUS-19934035               SUNDN180JACFSTICBMT
NAUT8003582499201601311037LEAD00000100000006492203CUS-20682624               SUNDN180JACFSTICBMT
NAUT8003582499201601311037LEAD00000100000044109216CUS-20682626               SUNDN180JACFSTICBMT
NAUT8003582499201601311037LEAD00000100000048230313CUS-20682625               SUNDN180JACFSTICBMT
NAUT8003582499201601311038LEAD00000100000076058817CUS-20682634               SUNDN180JACFSTICBMT
NAUT8003582499201601311039LEAD00000100000037748865CUS-20682636               SUNDN180JACFSTICBMT
NAUT8003667015201601311217LEAD00000100000033805863CUS-7074984               OWN*N180JACFSTICBMT
NAUT8003667015201601311220LEAD00000100000011550516CUS-20683051               OWN*N180JACFSTICBMT
NAUT8003667015201601311220LEAD00000100000060637773CUS-20683052               OWN*N180JACFSTICBMT
NAUT8003667015201601311334LEAD00000100000085374623CUS-20683297               OWN*N180JACFSTICBMT
NAUT8004201890201601310903LEAD00000100000029172803CUS-20682263               CZNYN120HKINGTICTRC
NAUT8004201890201601311556LEAD00000100000008031CUS-20683752               CZNYN120HKINGTICTRC
NAUT8004201890201601312140LEAD00000100000043402734CUS-10272748               CZNYN120HKINGTICTRC
NAUT8004202630201601311133LEAD00000100000049047269CUS-20682867               DCADN120HKINGTICTRC
NAUT8004202630201601311620LEAD00000100000055416952CUS-20683868               DCADN120HKINGTICTRC
NAUT8004202630201601311903LEAD00000100000095206209CUS-20684420               DCADN120HKINGTICTRC
NAUT8004202690201601310644LEAD00000100000033054786CUS-20681864               TESCN120HKINGTICTRC
NAUT8004202690201601311130LEAD00000100000048203313CUS-20682857               TESCN120HKINGTICTRC
NAUT8004202690201601311130LEAD00000100000090710424CUS-20682858               TESCN120HKINGTICTRC
NAUT8004202690201601311832LEAD00000100000007111718CUS-20684353               TESCN120HKINGTICTRC
NAUT8004202690201601311832LEAD00000100000037354423CUS-20684358               TESCN120HKINGTICTRC
NAUT8004202690201601311832LEAD00000100000046235317CUS-20684356               TESCN120HKINGTICTRC
NAUT8004203140201601310701LEAD00000100000087015505CUS-20681910               THISN120HKINGTICTRC
NAUT8004365437201601311057LEAD00000100000048624989CUS-20682692               PUREN180JACFSTICBMT
NAUT8004365437201601311057LEAD00000100000048624989CUS-20682692               PUREN180JACFSTICTRC
NAUT8004365437201601311716LEAD00000100000045241513CUS-19150211               PUREN180JACFSTICBMT
NAUT8004367224201601310633LEAD00000100000072701479CUS-20681846               AMC*N60*J14FSTICBMT
