US Electronic Short Form Leads
NAUT8002439827201601241201ELED00000100000028027980CUS-9200622               dseesf14aBMT
NAUT8002439827201601241201ELED00000100000040511218CUS-20665349               dseesf14aBMT
NAUT8002439827201601241202ELED00000100000045248513CUS-20665352               dseesf14aBMT
NAUT8002439827201601241203ELED00000100000002368774CUS-20665358               dseesf14aBMT
NAUT8002439827201601241206ELED00000100000032808407CUS-20665361               dseesf14aBMT
NAUT8002439827201601241207ELED00000100000033033786CUS-8223868               dseesf14aBMT
NAUT8002439827201601241207ELED00000100000095355209CUS-20665364               dseesf14aBMT
NAUT8002439827201601241208ELED00000100000048416989CUS-20665365               dseesf14aBMT
NAUT8002439827201601241213ELED00000100000017243814CUS-20665382               dseesf14aBMT
NAUT8002439827201601241218ELED00000100000006515203CUS-20665406               dseesf14aBMT
NAUT8002439827201601241231ELED00000100000022701540CUS-20665453               dseesf14aBMT
NAUT8002439827201601241232ELED00000100000078222210CUS-13110991               dseesf14aBMT
NAUT8002439827201601241234ELED00000100000060073847CUS-20665464               dseesf14aBMT
NAUT8002439827201601241235ELED00000100000042503859CUS-20665469               dseesf14aBMT
NAUT8002439827201601241252ELED00000100000080631970CUS-20665536               dseesf14aBMT
NAUT8002439827201601241253ELED00000100000033174305CUS-20665539               dseesf14aBMT
NAUT8002439827201601241255ELED00000100000029678864CUS-20665550               dseesf14aBMT
NAUT8002439827201601241256ELED00000100000089108702CUS-20665553               dseesf14aBMT
NAUT8002439827201601241257ELED00000100000011701516CUS-491326               dseesf14aBMT
NAUT8002439827201601241257ELED00000100000093534661CUS-20665562               dseesf14aBMT
NAUT8002439827201601241258ELED00000100000092562909CUS-10190004               dseesf14aBMT
NAUT8002439827201601241303ELED00000100000044514330CUS-20665584               dseesf14aBMT
NAUT8002439827201601241303ELED00000100000094533415CUS-20665586               dseesf14aBMT
NAUT8002439827201601241307ELED00000100000074881405CUS-20665601               dseesf14aBMT
NAUT8002439827201601241309ELED00000100000010304718CUS-20665609               dseesf14aBMT
NAUT8002439827201601241309ELED00000100000014218716CUS-20665607               dseesf14aBMT
NAUT8002439827201601241313ELED00000100000048080586CUS-20665627               dseesf14aBMT
NAUT8002439827201601241313ELED00000100000062864618CUS-20665628               dseesf14aBMT
NAUT8002439827201601241314ELED00000100000033322954CUS-20665629               dseesf14aBMT
NAUT8002439827201601241316ELED00000100000008087609CUS-20665633               dseesf14aBMT
NAUT8002439827201601241332ELED00000100000076210972CUS-20665679               dseesf14aBMT
NAUT8002439827201601241401ELED00000100000002119617CUS-20648445               dseesf14aBMT
NAUT8002439827201601241402ELED00000100000020602301CUS-20665802               dseesf14aBMT
NAUT8002439827201601241402ELED00000100000043015740CUS-20665800               dseesf14aBMT
NAUT8002439827201601241404ELED00000100000030281770CUS-5907412               dseesf14aBMT
NAUT8002439827201601241406ELED00000100000021220410CUS-20665821               dseesf14aBMT
NAUT8002439827201601241412ELED00000100000019802267CUS-20665838               dseesf14aBMT
NAUT8002439827201601241415ELED00000100000032225904CUS-20665851               dseesf14aBMT
NAUT8002439827201601241416ELED00000100000054201920CUS-10523464               dseesf14aBMT
NAUT8002439827201601241427ELED00000100000077963361CUS-20665894               dseesf14aBMT
NAUT8002439827201601241503ELED00000100000033023786CUS-20666039               dseesf14aBMT
NAUT8002439827201601241506ELED00000100000091761909CUS-20666053               dseesf14aBMT
NAUT8002439827201601241511ELED00000100000010460CUS-20666070               dseesf14aBMT
NAUT8002439827201601241524ELED00000100000049405231CUS-9124376               dseesf14aBMT
NAUT8002439827201601241525ELED00000100000036206256CUS-20666118               dseesf14aBMT
NAUT8002439827201601241533ELED00000100000010031646CUS-3744726               dseesf14aBMT
NAUT8002439827201601241535ELED00000100000030813CUS-20666158               dseesf14aBMT
NAUT8002439827201601241535ELED00000100000030907706CUS-20666157               dseesf14aBMT
NAUT8002439827201601241547ELED00000100000049085269CUS-20666200               dseesf14aBMT
NAUT8002439827201601241548ELED00000100000028372910CUS-20666208               dseesf14aBMT
NAUT8002439827201601241548ELED00000100000043512419CUS-20666202               dseesf14aBMT
NAUT8002439827201601241550ELED00000100000046405219CUS-20666212               dseesf14aBMT
NAUT8002439827201601241550ELED00000100000046797260CUS-20666214               dseesf14aBMT
NAUT8002439827201601241550ELED00000100000090260310CUS-20666216               dseesf14aBMT
NAUT8002439827201601241551ELED00000100000060914815CUS-5610851               dseesf14aBMT
NAUT8002439827201601241552ELED00000100000060453708CUS-20666219               dseesf14aBMT
NAUT8002439827201601241553ELED00000100000044124216CUS-20666221               dseesf14aBMT
NAUT8002439827201601241554ELED00000100000060099847CUS-20666227               dseesf14aBMT
NAUT8002439827201601241554ELED00000100000092691949CUS-20666225               dseesf14aBMT
NAUT8002439827201601241600ELED00000100000077042713CUS-20666236               dseesf14aBMT
NAUT8002439827201601241601ELED00000100000011953321CUS-20666238               dseesf14aBMT
NAUT8002439827201601241602ELED00000100000038372731CUS-20666247               dseesf14aBMT
NAUT8002439827201601241602ELED00000100000059937406CUS-20666243               dseesf14aBMT
NAUT8002439827201601241602ELED00000100000076905CUS-20666246               dseesf14aBMT
NAUT8002439827201601241617ELED00000100000010001917CUS-20666287               dseesf14aBMT
NAUT8002439827201601241622ELED00000100000049417616CUS-4495327               dseesf14aBMT
NAUT8002439827201601241639ELED00000100000062095616CUS-20666351               dseesf14aBMT
NAUT8002439827201601241642ELED00000100000013021CUS-20666356               dseesf14aBMT
NAUT8002439827201601241706ELED00000100000095831916CUS-8290703               dseesf14aBMT
NAUT8002439827201601241729ELED00000100000095348209CUS-11372705               dseesf14aBMT
NAUT8002439827201601241743ELED00000100000090044CUS-20666525               dseesf14aBMT
NAUT8002439827201601241915ELED00000100000031092229CUS-20666756               dseesf14aBMT
NAUT8002439827201601241917ELED00000100000074114918CUS-20666761               dseesf14aBMT
NAUT8002439827201601241920ELED00000100000084062801CUS-20666769               dseesf14aBMT
NAUT8002439827201601241922ELED00000100000074337918CUS-20666773               dseesf14aBMT
NAUT8002439827201601241924ELED00000100000077662409CUS-1810450               dseesf14aBMT
NAUT8002439827201601241925ELED00000100000028016CUS-20666777               dseesf14aBMT
NAUT8002439827201601241930ELED00000100000072019501CUS-20666794               dseesf14aBMT
NAUT8002439827201601241940ELED00000100000020778202CUS-7197157               dseesf14aBMT
NAUT8002439827201601241951ELED00000100000092308760CUS-20666835               dseesf14aBMT
NAUT8002439827201601241952ELED00000100000014203313CUS-20666837               dseesf14aBMT
NAUT8002439827201601241955ELED00000100000011234917CUS-20666843               dseesf14aBMT
NAUT8002439827201601241955ELED00000100000090022562CUS-20666846               dseesf14aBMT
NAUT8002439827201601241956ELED00000100000070506337CUS-20666849               dseesf14aBMT
NAUT8002439827201601242014ELED00000100000085015480CUS-20666880               dseesf14aBMT
NAUT8002439827201601242015ELED00000100000090044323CUS-20666882               dseesf14aBMT
NAUT8002439827201601242016ELED00000100000089147702CUS-20666884               dseesf14aBMT
NAUT8002439827201601242030ELED00000100000032578850CUS-20666903               dseesf14aBMT
NAUT8002439827201601242038ELED00000100000076904325CUS-20666917               dseesf14aBMT
NAUT8002439827201601242039ELED00000100000061103CUS-20666920               dseesf14aBMT
NAUT8002439827201601242046ELED00000100000091352818CUS-20666936               dseesf14aBMT
NAUT8002439827201601242047ELED00000100000091752951CUS-20666940               dseesf14aBMT
NAUT8002439827201601242048ELED00000100000098662425CUS-20666945               dseesf14aBMT
NAUT8002439827201601242056ELED00000100000053140773CUS-20666966               dseesf14aBMT
NAUT8002439827201601242117ELED00000100000089147702CUS-20667008               dseesf14aBMT
NAUT8002439827201601242245ELED00000100000078613512CUS-20667138               dseesf14aBMT
NAUT8002439827201601242302ELED00000100000072120501CUS-17962995               dseesf14aBMT
NAUT8002439827201601242314ELED00000100000058329701CUS-20667155               dseesf14aBMT
NAUT8002615850201601240506ELED00000100000006382860CUS-20664089               DSEESF14FBMT
NAUT8002615850201601241323ELED00000100000030080CUS-20665651               DSEESF14FBMT
NAUT8002615850201601241745ELED00000100000012603914CUS-1814187               DSEESF14FBMT
NAUT8002615850201601241813ELED00000100000033594352CUS-20666605               DSEESF14FBMT
NAUT8002696045201601240413ELED00000100000019317610CUS-20664074               dsetsf11gTRC
NAUT8002696045201601240603ELED00000100000045014513CUS-20664143               dsetsf11gTRC
NAUT8002696045201601240604ELED00000100000025302304CUS-20664145               dsetsf11gTRC
NAUT8002696045201601240605ELED00000100000032254904CUS-20664146               dsetsf11gTRC
NAUT8002696045201601240605ELED00000100000049221517CUS-2499958               dsetsf11gTRC
NAUT8002696045201601240606ELED00000100000020772301CUS-20664148               dsetsf11gTRC
NAUT8002696045201601240606ELED00000100000036116334CUS-20664151               dsetsf11gTRC
NAUT8002696045201601240608ELED00000100000018202703CUS-20664152               dsetsf11gTRC
NAUT8002696045201601240609ELED00000100000022657540CUS-20664154               dsetsf11gTRC
NAUT8002696045201601240610ELED00000100000070458985CUS-20664157               dsetsf11gTRC
NAUT8002696045201601240611ELED00000100000017050717CUS-20664159               dsetsf11gTRC
NAUT8002696045201601240612ELED00000100000048866517CUS-20664162               dsetsf11gTRC
NAUT8002696045201601240612ELED00000100000053040262CUS-540052               dsetsf11gTRC
NAUT8002696045201601240617ELED00000100000006357860CUS-20664180               dsetsf11gTRC
NAUT8002696045201601240617ELED00000100000065203573CUS-20664177               dsetsf11gTRC
NAUT8002696045201601240618ELED00000100000067212316CUS-20664181               dsetsf11gTRC
NAUT8002696045201601240619ELED00000100000032073904CUS-20664185               dsetsf11gTRC
NAUT8002696045201601240620ELED00000100000078261956CUS-20664189               dsetsf11gTRC
NAUT8002696045201601240621ELED00000100000021756240CUS-20664192               dsetsf11gTRC
NAUT8002696045201601240621ELED00000100000027265336CUS-1412707               dsetsf11gTRC
NAUT8002696045201601240622ELED00000100000011210347CUS-20664199               dsetsf11gTRC
NAUT8002696045201601240947ELED00000100000032259904CUS-20664849               dsetsf11gTRC
NAUT8002696045201601241144ELED00000100000022603540CUS-20665281               dsetsf11gTRC
NAUT8002696045201601241145ELED00000100000049323616CUS-20665288               dsetsf11gTRC
NAUT8002696045201601241148ELED00000100000002136617CUS-20665302               dsetsf11gTRC
NAUT8002696045201601241148ELED00000100000079372806CUS-20665305               dsetsf11gTRC
NAUT8002696045201601241150ELED00000100000002904401CUS-20665313               dsetsf11gTRC
NAUT8002696045201601241151ELED00000100000085087623CUS-20665316               dsetsf11gTRC
NAUT8002696045201601241254ELED00000100000094566925CUS-20665546               dsetsf11gTRC
NAUT8002696045201601241303ELED00000100000028164704CUS-20665587               dsetsf11gTRC
NAUT8002696045201601241530ELED00000100000077422979CUS-20666135               dsetsf11gTRC
NAUT8002696045201601241543ELED00000100000033569813CUS-20666179               dsetsf11gTRC
NAUT8002696045201601241739ELED00000100000035401205CUS-20666512               dsetsf11gTRC
NAUT8002696045201601241739ELED00000100000063121314CUS-20666513               dsetsf11gTRC
NAUT8002696045201601241740ELED00000100000012449845CUS-20666517               dsetsf11gTRC
NAUT8002696045201601241740ELED00000100000029058803CUS-20666514               dsetsf11gTRC
NAUT8002696045201601241740ELED00000100000030101404CUS-20666516               dsetsf11gTRC
NAUT8002696045201601241741ELED00000100000035447205CUS-1098006               dsetsf11gTRC
NAUT8002696045201601241747ELED00000100000029646864CUS-20666538               dsetsf11gTRC
NAUT8002696045201601241812ELED00000100000097601541CUS-20666600               dsetsf11gTRC
NAUT8002696045201601241938ELED00000100000091010626CUS-20666809               dsetsf11gTRC
NAUT8002952928201601240615ELED00000100000022657540CUS-20083077               dseesf14cBMT
NAUT8003310360201601240621ELED00000100000039702662CUS-20664193               DSEESF14JBMT
NAUT8003310360201601240622ELED00000100000047374765CUS-20664196               DSEESF14JBMT
NAUT8003310360201601240623ELED00000100000002745401CUS-20664202               DSEESF14JBMT
NAUT8003310360201601240637ELED00000100000079526325CUS-20664217               DSEESF14JBMT
NAUT8003310360201601240641ELED00000100000027521910CUS-5193234               DSEESF14JBMT
NAUT8003310360201601240642ELED00000100000072404870CUS-20664237               DSEESF14JBMT
NAUT8003310360201601240644ELED00000100000034689727CUS-20664240               DSEESF14JBMT
NAUT8003310360201601240645ELED00000100000002840401CUS-20664244               DSEESF14JBMT
NAUT8003310360201601240645ELED00000100000030189678CUS-20664243               DSEESF14JBMT
NAUT8003310360201601240646ELED00000100000027597919CUS-20664251               DSEESF14JBMT
NAUT8003310360201601240647ELED00000100000067226316CUS-20664253               DSEESF14JBMT
NAUT8003310360201601240648ELED00000100000031404912CUS-20664255               DSEESF14JBMT
NAUT8003310360201601240648ELED00000100000074036918CUS-20664254               DSEESF14JBMT
NAUT8003310360201601240649ELED00000100000004254207CUS-20664260               DSEESF14JBMT
NAUT8003310360201601240649ELED00000100000032094386CUS-20664259               DSEESF14JBMT
NAUT8003310360201601240649ELED00000100000037091931CUS-20664257               DSEESF14JBMT
NAUT8003310360201601240650ELED00000100000027292336CUS-20664261               DSEESF14JBMT
NAUT8003310360201601240710ELED00000100000048154CUS-20664305               DSEESF14JBMT
NAUT8003310360201601240808ELED00000100000070538337CUS-20664381               DSEESF14JBMT
NAUT8003310360201601240905ELED00000100000078578956CUS-20664658               DSEESF14JBMT
NAUT8003310360201601240906ELED00000100000013787252CUS-20664662               DSEESF14JBMT
NAUT8003310360201601240906ELED00000100000053144262CUS-20664664               DSEESF14JBMT
NAUT8003310360201601240907ELED00000100000049417616CUS-20664668               DSEESF14JBMT
NAUT8003310360201601240908ELED00000100000014450585CUS-20013510               DSEESF14JBMT
NAUT8003310360201601240910ELED00000100000040356859CUS-20664687               DSEESF14JBMT
NAUT8003310360201601240911ELED00000100000098371253CUS-20664689               DSEESF14JBMT
NAUT8003310360201601240912ELED00000100000043232614CUS-20664692               DSEESF14JBMT
NAUT8003310360201601240913ELED00000100000044053440CUS-20664699               DSEESF14JBMT
NAUT8003310360201601240914ELED00000100000037748865CUS-7996267               DSEESF14JBMT
NAUT8003310360201601240916ELED00000100000074735580CUS-20664707               DSEESF14JBMT
NAUT8003310360201601240917ELED00000100000078612512CUS-17971290               DSEESF14JBMT
NAUT8003310360201601240918ELED00000100000001843978CUS-20664716               DSEESF14JBMT
NAUT8003310360201601240918ELED00000100000038118901CUS-20664713               DSEESF14JBMT
NAUT8003310360201601240919ELED00000100000001108413CUS-20664721               DSEESF14JBMT
NAUT8003310360201601240921ELED00000100000018504570CUS-20664730               DSEESF14JBMT
NAUT8003310360201601240922ELED00000100000004537207CUS-20664733               DSEESF14JBMT
NAUT8003310360201601240922ELED00000100000070461504CUS-20121234               DSEESF14JBMT
NAUT8003310360201601240923ELED00000100000092404951CUS-20664745               DSEESF14JBMT
NAUT8003310360201601240923ELED00000100000097478707CUS-20664742               DSEESF14JBMT
NAUT8003310360201601240924ELED00000100000048867989CUS-20664747               DSEESF14JBMT
NAUT8003310360201601240925ELED00000100000018634570CUS-15957760               DSEESF14JBMT
NAUT8003310360201601240930ELED00000100000006010860CUS-20664770               DSEESF14JBMT
NAUT8003310360201601240936ELED00000100000031320912CUS-15830830               DSEESF14JBMT
NAUT8003310360201601240947ELED00000100000089131702CUS-20664846               DSEESF14JBMT
NAUT8003310360201601240953ELED00000100000068405CUS-20664877               DSEESF14JBMT
NAUT8003310360201601241127ELED00000100000002155781CUS-20665222               DSEESF14JBMT
NAUT8003310360201601241144ELED00000100000034746407CUS-10640319               DSEESF14JBMT
NAUT8003310360201601241144ELED00000100000056201320CUS-20665280               DSEESF14JBMT
NAUT8003310360201601241146ELED00000100000011218346CUS-20665293               DSEESF14JBMT
NAUT8003310360201601241146ELED00000100000061073815CUS-20665297               DSEESF14JBMT
NAUT8003310360201601241147ELED00000100000048009248CUS-20665299               DSEESF14JBMT
NAUT8003310360201601241147ELED00000100000087522505CUS-935945               DSEESF14JBMT
NAUT8003310360201601241148ELED00000100000023323757CUS-3743965               DSEESF14JBMT
NAUT8003310360201601241150ELED00000100000032836407CUS-20665315               DSEESF14JBMT
NAUT8003310360201601241204ELED00000100000032714321CUS-1397203               DSEESF14JBMT
NAUT8003310360201601241214ELED00000100000010040212CUS-20665384               DSEESF14JBMT
NAUT8003310360201601241216ELED00000100000098007425CUS-20665397               DSEESF14JBMT
NAUT8003310360201601241456ELED00000100000099654907CUS-20666013               DSEESF14JBMT
NAUT8003310360201601241521ELED00000100000030014678CUS-20666097               DSEESF14JBMT
NAUT8003310360201601241522ELED00000100000012804518CUS-20666101               DSEESF14JBMT
NAUT8003310360201601241522ELED00000100000032068301CUS-20666098               DSEESF14JBMT
NAUT8003310360201601241524ELED00000100000035570205CUS-20666107               DSEESF14JBMT
NAUT8003310360201601241526ELED00000100000066216913CUS-20666120               DSEESF14JBMT
NAUT8003310360201601241529ELED00000100000023140804CUS-20666130               DSEESF14JBMT
NAUT8003310360201601241529ELED00000100000086046928CUS-20666128               DSEESF14JBMT
NAUT8003310360201601241545ELED00000100000079735432CUS-20666189               DSEESF14JBMT
NAUT8003310360201601241612ELED00000100000026133304CUS-20666268               DSEESF14JBMT
NAUT8003310360201601241613ELED00000100000045895CUS-20666270               DSEESF14JBMT
NAUT8003310360201601241613ELED00000100000070448504CUS-20666272               DSEESF14JBMT
NAUT8003310360201601241615ELED00000100000011757631CUS-20666277               DSEESF14JBMT
NAUT8003310360201601241616ELED00000100000038115901CUS-20666284               DSEESF14JBMT
NAUT8003310360201601241618ELED00000100000007869973CUS-20666289               DSEESF14JBMT
NAUT8003310360201601241618ELED00000100000072946479CUS-20666290               DSEESF14JBMT
NAUT8003310360201601241645ELED00000100000047562812CUS-6376993               DSEESF14JBMT
NAUT8003310360201601241708ELED00000100000083301208CUS-20666426               DSEESF14JBMT
NAUT8003310360201601241736ELED00000100000075212555CUS-20666506               DSEESF14JBMT
NAUT8003310360201601241913ELED00000100000099508907CUS-20666750               DSEESF14JBMT
NAUT8003310360201601241921ELED00000100000099515907CUS-20666771               DSEESF14JBMT
NAUT8003310360201601242039ELED00000100000050501515CUS-20666919               DSEESF14JBMT
NAUT8004018947201601240954ELED00000100000020735703CUS-20664884               SAWSF11ATRC
NAUT8004018947201601241449ELED00000100000042420859CUS-20665982               dsetsf11aTRC
NAUT8004019174201601240444ELED00000100000064153702CUS-20664083               dsetsf11cTRC
NAUT8004019174201601240525ELED00000100000064153CUS-20664101               dsetsf11cTRC
NAUT8004019174201601240536ELED00000100000018201570CUS-20664113               dsetsf11cTRC
NAUT8004019174201601240538ELED00000100000010314718CUS-20664119               dsetsf11cTRC
NAUT8004019174201601240538ELED00000100000027332919CUS-20664117               dsetsf11cTRC
NAUT8004019174201601240541ELED00000100000076548254CUS-20664122               dsetsf11cTRC
NAUT8004019174201601240552ELED00000100000027537919CUS-20664129               dsetsf11cTRC
NAUT8004019174201601240603ELED00000100000028214704CUS-20664142               dsetsf11cTRC
NAUT8004019174201601240613ELED00000100000001027413CUS-934550               dsetsf11cTRC
NAUT8004019174201601240615ELED00000100000030228CUS-20664171               dsetsf11cTRC
NAUT8004019174201601240623ELED00000100000041164606CUS-20664200               dsetsf11cTRC
NAUT8004019174201601240729ELED00000100000079927CUS-20664325               dsetsf11cTRC
NAUT8004019174201601240830ELED00000100000077018713CUS-20664497               dsetsf11cTRC
NAUT8004019174201601240837ELED00000100000093257CUS-20664538               dsetsf11cTRC
NAUT8004019174201601240852ELED00000100000095758916CUS-20664604               dsetsf11cTRC
