US Short Form Leads
NAUT8004450297201407210847LEAD00000100000023430757CUS-19612861               OWN*N180GRT2HTICTRC
NAUT8004450297201407211046LEAD00000100000036553251CUS-19613090               OWN*N180GRT2HTICTRC
NAUT8004450297201407211046LEAD00000100000063033314CUS-19613091               OWN*N180GRT2HTICTRC
NAUT8004450297201407211048LEAD00000100000077088713CUS-19613097               OWN*N180GRT2HTICTRC
NAUT8004450297201407211049LEAD00000100000038261731CUS-19613101               OWN*N180GRT2HTICTRC
NAUT8004450297201407211050LEAD00000100000065588573CUS-19613094               OWN*N180GRT2HTICTRC
NAUT8004450297201407211056LEAD00000100000092240760CUS-19613117               OWN*N180GRT2HTICTRC
NAUT8004450297201407211139LEAD00000100000095361209CUS-19613190               OWN*N180GRT2HTICTRC
NAUT8004450297201407211255LEAD00000100000077365832CUS-19613355               OWN*N180GRT2HTICTRC
NAUT8004450297201407212248LEAD00000100000010465917CUS-19614486               OWN*N180GRT2HTICTRC
NAUT8004450297201407212250LEAD00000100000044138440CUS-19614490               OWN*N180GRT2HTICTRC
NAUT8004450297201407212250LEAD00000100000095687510CUS-19614491               OWN*N180GRT2HTICTRC
NAUT8004531376201407211154LEAD00000100000043953740CUS-19613213               FXLOL60*GRT2HTICTRC
NAUT8004590481201407210926LEAD00000100000001450978CUS-19612922               TNTLL60*GRT2HTICTRC
NAUT8004590481201407211122LEAD00000100000087505505CUS-19613163               TNTLL60*GRT2HTICTRC
NAUT8004590481201407211217LEAD00000100000020186540CUS-19613270               TNTLL60*GRT2HTICTRC
NAUT8004590481201407211443LEAD00000100000093906831CUS-19613520               TNTLL60*GRT2HTICTRC
NAUT8004602657201407211332LEAD00000100000031096478CUS-19613420               AMC*L60*GRT2HTICTRC
NAUT8004602867201407211556LEAD00000100000024085540CUS-19613672               SPKEL60*GRT2HTICTRC
NAUT8004610895201407211000LEAD00000100000021216443CUS-19613000               ESPNL60*GRT2HTICTRC
NAUT8004668119201407211208LEAD00000100000018902215CUS-19613252               PALLN120GENTSTICTRC
NAUT8004669741201407210947LEAD00000100000019966302CUS-19612970               SUNDN120GENTSTICTRC
NAUT8004669741201407211029LEAD00000100000065605417CUS-19613057               SUNDN120GENTSTICTRC
NAUT8004669741201407211032LEAD00000100000027801252CUS-19613066               SUNDN120GENTSTICTRC
NAUT8004669741201407211243LEAD00000100000084119801CUS-19613332               SUNDN120GENTSTICTRC
NAUT8004669741201407211248LEAD00000100000037388615CUS-19613340               SUNDN120GENTSTICTRC
NAUT8004669741201407211332LEAD00000100000094804510CUS-19613418               SUNDN120GENTSTICTRC
NAUT8004669741201407212249LEAD00000100000092345760CUS-19614489               SUNDN120GENTSTICTRC
NAUT8004669741201407212255LEAD00000100000061863217CUS-19614500               SUNDN120GENTSTICTRC
NAUT8004669741201407212256LEAD00000100000029150803CUS-19614502               SUNDN120GENTSTICTRC
NAUT8004731128201407210055LEAD00000100000092078760CUS-19612547               ION*L60*GRT2HTICTRC
NAUT8004742899201407210757LEAD00000100000028396910CUS-19612765               CMT*N120GENTSTICTRC
NAUT8004742899201407210759LEAD00000100000014895585CUS-19612763               CMT*N120GENTSTICTRC
NAUT8004742899201407211002LEAD00000100000076450940CUS-19613003               CMT*N120GENTSTICTRC
NAUT8004742899201407211004LEAD00000100000023027804CUS-19613008               CMT*N120GENTSTICTRC
NAUT8004742899201407211004LEAD00000100000064836417CUS-19613009               CMT*N120GENTSTICTRC
NAUT8004742899201407211005LEAD00000100000071701870CUS-19613006               CMT*N120GENTSTICTRC
NAUT8004742899201407211005LEAD00000100000076801325CUS-19613010               CMT*N120GENTSTICTRC
NAUT8004742899201407212249LEAD00000100000075703903CUS-19614488               CMT*N120GENTSTICTRC
