US Electronic Short Form Leads
NAUT8002439827201411301546ELED00000100000060139630CUS-19842770               dseesf14aBMT
NAUT8002439827201411301547ELED00000100000048451810CUS-19842771               dseesf14aBMT
NAUT8002439827201411301548ELED00000100000030554770CUS-19842777               dseesf14aBMT
NAUT8002439827201411301548ELED00000100000049601231CUS-19842775               dseesf14aBMT
NAUT8002439827201411301549ELED00000100000038654901CUS-19842780               dseesf14aBMT
NAUT8002439827201411301549ELED00000100000077017832CUS-19842779               dseesf14aBMT
NAUT8002439827201411301552ELED00000100000033415CUS-19842795               dseesf14aBMT
NAUT8002439827201411301600ELED00000100000019702302CUS-19842833               dseesf14aBMT
NAUT8002439827201411301600ELED00000100000038606662CUS-19612358               dseesf14aBMT
NAUT8002439827201411301604ELED00000100000033556813CUS-19771205               dseesf14aBMT
NAUT8002439827201411301614ELED00000100000048359586CUS-19842880               dseesf14aBMT
NAUT8002439827201411301615ELED00000100000090631562CUS-19842885               dseesf14aBMT
NAUT8002439827201411301624ELED00000100000076001817CUS-19842920               dseesf14aBMT
NAUT8002439827201411301635ELED00000100000037406423CUS-19842985               dseesf14aBMT
NAUT8002439827201411301644ELED00000100000080004720CUS-19843015               dseesf14aBMT
NAUT8002439827201411301645ELED00000100000008234609CUS-19843017               dseesf14aBMT
NAUT8002439827201411301646ELED00000100000008820732CUS-19843025               dseesf14aBMT
NAUT8002439827201411301646ELED00000100000059022406CUS-19843024               dseesf14aBMT
NAUT8002439827201411301659ELED00000100000011216CUS-19843059               dseesf14aBMT
NAUT8002439827201411301745ELED00000100000030033404CUS-19843215               dseesf14aBMT
NAUT8002439827201411301803ELED00000100000090301323CUS-19843303               dseesf14aBMT
NAUT8002439827201411301804ELED00000100000092392760CUS-19843311               dseesf14aBMT
NAUT8002439827201411301816ELED00000100000075115972CUS-19843363               dseesf14aBMT
NAUT8002439827201411301846ELED00000100000020639410CUS-19843449               dseesf14aBMT
NAUT8002439827201411301846ELED00000100000078130979CUS-19843450               dseesf14aBMT
NAUT8002439827201411301847ELED00000100000011934631CUS-19843455               dseesf14aBMT
NAUT8002439827201411301847ELED00000100000031313921CUS-19843460               dseesf14aBMT
NAUT8002439827201411301847ELED00000100000052241319CUS-19843457               dseesf14aBMT
NAUT8002439827201411301849ELED00000100000094542510CUS-19843468               dseesf14aBMT
NAUT8002439827201411301851ELED00000100000028110704CUS-19843476               dseesf14aBMT
NAUT8002439827201411301852ELED00000100000097305971CUS-19843479               dseesf14aBMT
NAUT8002439827201411301852ELED00000100000098031206CUS-19843483               dseesf14aBMT
NAUT8002439827201411301853ELED00000100000097005CUS-19843488               dseesf14aBMT
NAUT8002439827201411301903ELED00000100000032937321CUS-19843536               dseesf14aBMT
NAUT8002439827201411301903ELED00000100000090713562CUS-19843537               dseesf14aBMT
NAUT8002439827201411301917ELED00000100000001460617CUS-19843588               dseesf14aBMT
NAUT8002439827201411301930ELED00000100000076052817CUS-19843622               dseesf14aBMT
NAUT8002439827201411301945ELED00000100000027217CUS-19843643               dseesf14aBMT
NAUT8002439827201411302032ELED00000100000011701631CUS-19843734               dseesf14aBMT
NAUT8002439827201411302032ELED00000100000095070408CUS-19843735               dseesf14aBMT
NAUT8002439827201411302033ELED00000100000077384936CUS-19843737               dseesf14aBMT
NAUT8002439827201411302037ELED00000100000008837347CUS-19843749               dseesf14aBMT
NAUT8002439827201411302037ELED00000100000078201210CUS-19843748               dseesf14aBMT
NAUT8002439827201411302038ELED00000100000011361718CUS-19843753               dseesf14aBMT
NAUT8002439827201411302038ELED00000100000017402215CUS-19843752               dseesf14aBMT
NAUT8002439827201411302038ELED00000100000039212601CUS-19843751               dseesf14aBMT
NAUT8002439827201411302039ELED00000100000023666757CUS-19843758               dseesf14aBMT
NAUT8002439827201411302039ELED00000100000083301208CUS-19843756               dseesf14aBMT
NAUT8002439827201411302040ELED00000100000035205205CUS-19843762               dseesf14aBMT
NAUT8002439827201411302041ELED00000100000065536417CUS-19843765               dseesf14aBMT
NAUT8002439827201411302042ELED00000100000035094205CUS-19843768               dseesf14aBMT
NAUT8002439827201411302043ELED00000100000028278914CUS-19843774               dseesf14aBMT
NAUT8002439827201411302043ELED00000100000033914239CUS-19843773               dseesf14aBMT
NAUT8002439827201411302043ELED00000100000036695251CUS-19843776               dseesf14aBMT
NAUT8002439827201411302044ELED00000100000097080CUS-19843778               dseesf14aBMT
NAUT8002439827201411302048ELED00000100000000783787CUS-19843788               dseesf14aBMT
NAUT8002439827201411302048ELED00000100000039505228CUS-19843789               dseesf14aBMT
NAUT8002439827201411302049ELED00000100000027703919CUS-19843792               dseesf14aBMT
NAUT8002439827201411302050ELED00000100000098362360CUS-19843794               dseesf14aBMT
NAUT8002439827201411302123ELED00000100000090502CUS-19843871               dseesf14aBMT
NAUT8002439827201411302123ELED00000100000092675CUS-19843870               dseesf14aBMT
