US Short Form Leads
NAUT8005304793201512171131LEAD00000100000048111313CUS-20535376               PIVTN180JACKDTICBMT
NAUT8005304793201512171234LEAD00000100000075087CUS-20535555               PIVTN180JACKDTICBMT
NAUT8005304793201512171547LEAD00000100000059725406CUS-20535899               PIVTN180JACKDTICBMT
NAUT8005383381201512172234LEAD00000100000063137314CUS-20536454               INSPN120WMNS*TICTRC
NAUT8006148410201512171215LEAD00000100000099139509CUS-20051352               DISNN60*JACKDTICBMT
NAUT8006148410201512171320LEAD00000100000087105505CUS-7118573               DISNN60*JACKDTICBMT
NAUT8006148410201512172134LEAD00000100000074053918CUS-20536408               DISNN60*JACKDTICBMT
NAUT8006448534201512171517LEAD00000100000096097530CUS-20535851               DISMN60*JACKDTICBMT
NAUT8006448534201512171551LEAD00000100000022551804CUS-20535905               DISMN60*JACKDTICBMT
NAUT8006720780201512170931LEAD00000100000056010507CUS-20535081               TVLDN60*HKINGTICTRC
NAUT8007086528201512170634LEAD00000100000021713240CUS-20534717               VEL*N120JACKDTICBMT
NAUT8007086528201512170637LEAD00000100000020715301CUS-20534719               VEL*N120JACKDTICBMT
NAUT8007086528201512171241LEAD00000100000063130314CUS-20535582               VEL*N120JACKDTICBMT
NAUT8007086528201512171245LEAD00000100000010475718CUS-20535590               VEL*N120JACKDTICBMT
NAUT8007086528201512171329LEAD00000100000013069315CUS-20535676               VEL*N120JACKDTICBMT
NAUT8007086528201512171332LEAD00000100000037938865CUS-20535678               VEL*N120JACKDTICBMT
NAUT8007086528201512171440LEAD00000100000019335610CUS-20535792               VEL*N120JACKDTICBMT
NAUT8007173460201512171620LEAD00000100000079772432CUS-20535943               INSPN180HKINGTICTRC
NAUT8007173460201512171625LEAD00000100000008610609CUS-20535945               INSPN180HKINGTICTRC
NAUT8007173460201512171644LEAD00000100000097141503CUS-20535989               INSPN180HKINGTICTRC
NAUT8007173460201512171648LEAD00000100000039120601CUS-20535990               INSPN180HKINGTICTRC
NAUT8007173460201512171722LEAD00000100000083204208CUS-20536053               INSPN180HKINGTICTRC
NAUT8007173460201512171734LEAD00000100000093704636CUS-20536079               INSPN180HKINGTICTRC
NAUT8007173460201512171806LEAD00000100000037415423CUS-20536130               INSPN180HKINGTICTRC
NAUT8007173460201512172333LEAD00000100000023225978CUS-20536479               INSPN180HKINGTICTRC
NAUT8007173460201512172333LEAD00000100000027529919CUS-20536480               INSPN180HKINGTICTRC
NAUT8007173460201512172333LEAD00000100000047432502CUS-20536478               INSPN180HKINGTICTRC
NAUT8007173460201512172334LEAD00000100000038855662CUS-20536482               INSPN180HKINGTICTRC
NAUT8007173460201512172335LEAD00000100000030642706CUS-20536485               INSPN180HKINGTICTRC
NAUT8007176310201512170748LEAD00000100000085543928CUS-20534786               DIRNN60*JACKDTICBMT
NAUT8007176310201512170804LEAD00000100000033163305CUS-20534817               DIRNN60*JACKDTICBMT
NAUT8007300620201512171019LEAD00000100000030286706CUS-20535172               SUNDN120JACKDTICBMT
NAUT8007300620201512171218LEAD00000100000070605337CUS-8283924               SUNDN120JACKDTICBMT
NAUT8007300620201512172136LEAD00000100000093063805CUS-20536416               SUNDN120JACKDTICBMT
NAUT8007300620201512172137LEAD00000100000093063805CUS-20536416               SUNDN120JACKDTICTRC
NAUT8007615074201512171100LEAD00000100000002740508CUS-20535299               BANDN60*JACKDTICBMT
NAUT8008531279201512171530LEAD00000100000098801509CUS-20535865               DESTN120KMV**TICTRC
NAUT8008592181201512170701LEAD00000100000029605864CUS-20534758               UPTVN120HKINGTICTRC
NAUT8008592181201512170705LEAD00000100000079359065CUS-20534763               UPTVN120HKINGTICTRC
NAUT8008592181201512171208LEAD00000100000033029954CUS-7945734               UPTVN120HKINGTICTRC
NAUT8008592181201512171251LEAD00000100000011434718CUS-20535602               UPTVN120HKINGTICTRC
NAUT8008731614201512171144LEAD00000100000065063573CUS-20315144               VEL*N180HAMF*TICBMT
NAUT8009185197201512170827LEAD00000100000027909252CUS-20534936               SPKEN120JACKDTICBMT
