US Short Form Leads
NAUT8006148295201409281301LEAD00000100000071857870CUS-19734257               UPTVN120WALKATICTRC
NAUT8006148295201409281303LEAD00000100000027834252CUS-19734255               UPTVN120WALKATICTRC
NAUT8006148295201409281303LEAD00000100000042101270CUS-19734254               UPTVN120WALKATICTRC
NAUT8006148295201409281307LEAD00000100000024549434CUS-19734270               UPTVN120WALKATICTRC
NAUT8006148295201409281805LEAD00000100000028304910CUS-19734692               UPTVN120WALKATICTRC
NAUT8006148461201409280747LEAD00000100000002155781CUS-19733888               HALMN120WALKATICTRC
NAUT8006148461201409280747LEAD00000100000007111973CUS-19733889               HALMN120WALKATICTRC
NAUT8006148461201409281518LEAD00000100000087535505CUS-19734428               HALMN120WALKATICTRC
NAUT8006148461201409281519LEAD00000100000037090615CUS-19734427               HALMN120WALKATICTRC
NAUT8006148461201409281519LEAD00000100000049022269CUS-19734426               HALMN120WALKATICTRC
NAUT8006148461201409281519LEAD00000100000060914936CUS-19734430               HALMN120WALKATICTRC
NAUT8006148461201409281519LEAD00000100000077456979CUS-19734425               HALMN120WALKATICTRC
NAUT8006148461201409281522LEAD00000100000035173205CUS-19734432               HALMN120WALKATICTRC
NAUT8006148461201409281522LEAD00000100000078130830CUS-19734434               HALMN120WALKATICTRC
NAUT8006148461201409281531LEAD00000100000030011678CUS-19734439               HALMN120WALKATICTRC
NAUT8006148461201409281549LEAD00000100000034110774CUS-19734476               HALMN120WALKATICTRC
NAUT8006670951201409281452LEAD00000100000022980540CUS-19734386               HISTL60*WALKATICTRC
NAUT8007171498201409280754LEAD00000100000055427763CUS-19733892               LMN*L60*WALKATICTRC
NAUT8007171498201409280755LEAD00000100000027405336CUS-19733893               LMN*L60*WALKATICTRC
NAUT8007171498201409280755LEAD00000100000060473708CUS-19733894               LMN*L60*WALKATICTRC
NAUT8007171498201409280755LEAD00000100000064058816CUS-19733895               LMN*L60*WALKATICTRC
NAUT8007171498201409280756LEAD00000100000078414972CUS-19733896               LMN*L60*WALKATICTRC
NAUT8007171498201409280758LEAD00000100000092120619CUS-6388434               LMN*L60*WALKATICTRC
NAUT8007171498201409280802LEAD00000100000036067334CUS-19733902               LMN*L60*WALKATICTRC
NAUT8007171498201409281000LEAD00000100000071343318CUS-19734062               LMN*L60*WALKATICTRC
NAUT8007171498201409281254LEAD00000100000091730909CUS-19734248               LMN*L60*WALKATICBMT
NAUT8007171498201409281254LEAD00000100000091730909CUS-19734248               LMN*L60*WALKATICBST
NAUT8007171498201409281254LEAD00000100000091730909CUS-19734248               LMN*L60*WALKATICTRC
NAUT8007171498201409281609LEAD00000100000039069601CUS-19734518               LMN*L60*WALKATICTRC
NAUT8007171498201409281609LEAD00000100000059479406CUS-19734521               LMN*L60*WALKATICTRC
NAUT8007171498201409281610LEAD00000100000019702302CUS-19734523               LMN*L60*WALKATICTRC
NAUT8007171498201409281610LEAD00000100000039474601CUS-19734525               LMN*L60*WALKATICTRC
NAUT8007171498201409281611LEAD00000100000030349770CUS-19734526               LMN*L60*WALKATICTRC
NAUT8007171498201409281611LEAD00000100000031903706CUS-19734529               LMN*L60*WALKATICTRC
NAUT8007171498201409281611LEAD00000100000092284661CUS-19734527               LMN*L60*WALKATICTRC
NAUT8007171498201409281612LEAD00000100000027103336CUS-19734533               LMN*L60*WALKATICTRC
NAUT8007171498201409281613LEAD00000100000039828229CUS-19734534               LMN*L60*WALKATICTRC
NAUT8007171498201409281623LEAD00000100000006473203CUS-19734543               LMN*L60*WALKATICTRC
NAUT8007171498201409281801LEAD00000100000040175757CUS-19734685               LMN*L60*WALKATICTRC
NAUT8007835119201409281004LEAD00000100000002048508CUS-19734072               CMGCP60*GRT2HWSTTRC
NAUT8007835135201409281004LEAD00000100000030080678CUS-19734073               CMGDP60*GRT2HWSTTRC
NAUT8007835135201409282009LEAD00000100000090731310CUS-19734851               CMGDP60*GRT2HWSTTRC
NAUT8008105251201409281554LEAD00000100000076106CUS-19734489               CM24P120GRT2HWSTTRC
NAUT8008105251201409281555LEAD00000100000048124313CUS-19734490               CM24P120GRT2HWSTTRC
NAUT8008498755201409281216LEAD00000100000030292678CUS-19734210               METVN60*GRT2HTICTRC
NAUT8008591918201409280220LEAD00000100000078229830CUS-19733800               FOXNN120WALKATICTRC
NAUT8008591918201409280547LEAD00000100000085308602CUS-19733831               FOXNN120WALKATICTRC
NAUT8008591918201409281328LEAD00000100000011367718CUS-19734292               FOXNN120WALKATICTRC
NAUT8008591918201409281625LEAD00000100000037803865CUS-19734553               FOXNN120WALKATICTRC
NAUT8009257579201409281634LEAD00000100000098059206CUS-19687030               SPKEL60*WALKATICTRC
NAUT8009522961201409281555LEAD00000100000095822916CUS-19734491               FX**L60*WALKATICTRC
