US Short Form Leads
NAUT8005069231201411131524LEAD00000100000030567678CUS-19802664               VEL*N120MRYMXTICBMT
NAUT8005069231201411131526LEAD00000100000010977845CUS-11734935               VEL*N120MRYMXTICBMT
NAUT8005069231201411131526LEAD00000100000079922915CUS-1493609               VEL*N120MRYMXTICBMT
NAUT8005069231201411131531LEAD00000100000007011973CUS-19802673               VEL*N120MRYMXTICBMT
NAUT8005248451201411130717LEAD00000100000030030404CUS-19801577               USA*N60*WLKMFTICTRC
NAUT8005248451201411130719LEAD00000100000060402708CUS-19801578               USA*N60*WLKMFTICTRC
NAUT8005248451201411130737LEAD00000100000019809302CUS-19801620               USA*N60*WLKMFTICTRC
NAUT8005632199201411131918LEAD00000100000094025831CUS-19803044               MTV*L60*MRYMXTICBMT
NAUT8005700999201411130948LEAD00000100000093535661CUS-19801933               FOODNVODWALKATICTRC
NAUT8005916649201411130641LEAD00000100000025276615CUS-19801522               ESQ*N120WLKMFTICTRC
NAUT8005916649201411130951LEAD00000100000015037412CUS-19801935               ESQ*N120WLKMFTICTRC
NAUT8005916649201411130951LEAD00000100000017870570CUS-19801936               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131140LEAD00000100000028463910CUS-19802207               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131237LEAD00000100000047374765CUS-19802366               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131420LEAD00000100000020032202CUS-19773319               ESQ*N120WLKMFTICTRC
NAUT8005916649201411131422LEAD00000100000011239CUS-19802567               ESQ*N120WLKMFTICTRC
NAUT8005923486201411130957LEAD00000100000015690724CUS-19801949               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131140LEAD00000100000034997772CUS-19802208               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131151LEAD00000100000077051281CUS-19802243               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131157LEAD00000100000030281404CUS-10939130               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131159LEAD00000100000090810310CUS-19802265               DRTMN60*MRYMXTICBMT
NAUT8005923486201411131543LEAD00000100000087052505CUS-19802699               DRTMN60*MRYMXTICBMT
NAUT8006148461201411130718LEAD00000100000030290770CUS-19801579               HALMN120WLKMFTICTRC
NAUT8006148461201411130913LEAD00000100000098270360CUS-19801842               HALMN120WLKMFTICTRC
NAUT8006148461201411131142LEAD00000100000092040619CUS-19802213               HALMN120WLKMFTICTRC
NAUT8006148461201411132157LEAD00000100000042101270CUS-19803191               HALMN120WLKMFTICTRC
NAUT8006148461201411132158LEAD00000100000092337909CUS-19803193               HALMN120WLKMFTICTRC
NAUT8006172457201411130919LEAD00000100000049546616CUS-19801864               ION*N120WLKMFTICTRC
NAUT8006172457201411130921LEAD00000100000024013540CUS-19801868               ION*N120WLKMFTICTRC
NAUT8006172457201411130933LEAD00000100000048843248CUS-19801871               ION*N120WLKMFTICTRC
NAUT8006172457201411130948LEAD00000100000014837607CUS-19801932               ION*N120WLKMFTICTRC
NAUT8006172457201411131021LEAD00000100000080011720CUS-19802017               ION*N120WLKMFTICTRC
NAUT8006172457201411131424LEAD00000100000032346850CUS-19802573               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000010025917CUS-19802575               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000024017540CUS-19802572               ION*N120WLKMFTICTRC
NAUT8006172457201411131425LEAD00000100000083401208CUS-19802574               ION*N120WLKMFTICTRC
NAUT8006172457201411131426LEAD00000100000023882804CUS-19802579               ION*N120WLKMFTICTRC
NAUT8006172457201411131426LEAD00000100000030666678CUS-19802580               ION*N120WLKMFTICTRC
NAUT8006172457201411131426LEAD00000100000049464616CUS-19802581               ION*N120WLKMFTICTRC
NAUT8006172457201411131526LEAD00000100000085201480CUS-19802670               ION*N120WLKMFTICTRC
NAUT8006172457201411131724LEAD00000100000092354909CUS-19802873               ION*N120WLKMFTICTRC
NAUT8006172457201411131725LEAD00000100000091911619CUS-19802875               ION*N120WLKMFTICTRC
NAUT8006172457201411131726LEAD00000100000093012805CUS-19802876               ION*N120WLKMFTICTRC
NAUT8006172457201411131809LEAD00000100000064056816CUS-19802946               ION*N120WLKMFTICTRC
NAUT8006172723201411131750LEAD00000100000035055256CUS-19802915               PUREN180WLKMFTICTRC
NAUT8006516384201411130825LEAD00000100000029584843CUS-19801711               INSPN120WLKMFTICTRC
NAUT8006533024201411130748LEAD00000100000060030608CUS-19801638               SPKEN120GNTMFTICTRC
NAUT8006533024201411130748LEAD00000100000093030805CUS-19801636               SPKEN120GNTMFTICTRC
NAUT8006533024201411130749LEAD00000100000008318609CUS-19801637               SPKEN120GNTMFTICTRC
NAUT8006533024201411130749LEAD00000100000075791903CUS-19801639               SPKEN120GNTMFTICTRC
NAUT8006533024201411130749LEAD00000100000076010682CUS-19801643               SPKEN120GNTMFTICTRC
NAUT8006533024201411131128LEAD00000100000006710914CUS-19802179               SPKEN120GNTMFTICTRC
NAUT8006533024201411131132LEAD00000100000032405478CUS-19802190               SPKEN120GNTMFTICTRC
NAUT8006533024201411131134LEAD00000100000071603870CUS-19802201               SPKEN120GNTMFTICTRC
NAUT8006533024201411131431LEAD00000100000089149702CUS-19802595               SPKEN120GNTMFTICTRC
NAUT8006533024201411131733LEAD00000100000060087224CUS-19801642               SPKEN120GNTMFTICTRC
NAUT8006533024201411131806LEAD00000100000080224720CUS-19802943               SPKEN120GNTMFTICTRC
NAUT8006703864201411130613LEAD00000100000040214502CUS-19801499               METVN120WLKMFTICTRC
NAUT8006703864201411130740LEAD00000100000050049641CUS-19801622               METVN120WLKMFTICTRC
NAUT8006703864201411131727LEAD00000100000036022334CUS-19800289               METVN120WLKMFTICTRC
NAUT8006830774201411131115LEAD00000100000043604419CUS-19802151               WGN*N120GRT2HTICTRC
NAUT8007171498201411130936LEAD00000100000069130308CUS-19801913               LMN*L60*WLKMFTICTRC
NAUT8007171498201411130937LEAD00000100000030263678CUS-19801914               LMN*L60*WLKMFTICTRC
NAUT8007171498201411130937LEAD00000100000098374253CUS-19801915               LMN*L60*WLKMFTICTRC
NAUT8007781481201411130746LEAD00000100000038549931CUS-19801631               DISCN60*WLKMFTICTRC
NAUT8007781481201411130749LEAD00000100000016335724CUS-19801641               DISCN60*WLKMFTICTRC
NAUT8007781481201411130755LEAD00000100000029410843CUS-19801647               DISCN60*WLKMFTICTRC
NAUT8007781481201411130822LEAD00000100000048504810CUS-19750735               DISCN60*WLKMFTICTRC
NAUT8007781481201411130824LEAD00000100000039401601CUS-19801702               DISCN60*WLKMFTICTRC
NAUT8007781481201411130824LEAD00000100000044887419CUS-19801706               DISCN60*WLKMFTICTRC
NAUT8007781481201411131131LEAD00000100000099005509CUS-19802194               DISCN60*WLKMFTICTRC
NAUT8007781481201411131640LEAD00000100000019702610CUS-19802800               DISCN60*WLKMFTICTRC
NAUT8007835119201411130543LEAD00000100000085251480CUS-19801483               CMGCP60*GRT2HWSTTRC
NAUT8007835119201411131747LEAD00000100000029607CUS-19802910               CMGCP60*GRT2HWSTTRC
NAUT8007835119201411132001LEAD00000100000075104469CUS-19803097               CMGCP60*GRT2HWSTTRC
NAUT8007835733201411131330LEAD00000100000077229832CUS-19802470               CMGEP60*GRT2HWSTTRC
NAUT8008591918201411130214LEAD00000100000049253517CUS-19801431               FOXNN120WLKMFTICTRC
NAUT8008591918201411130457LEAD00000100000085028602CUS-19801468               FOXNN120WLKMFTICTRC
NAUT8008591918201411130659LEAD00000100000098606503CUS-19801558               FOXNN120WLKMFTICTRC
NAUT8009257579201411131628LEAD00000100000028787828CUS-19802778               SPKEL60*WLKMFTICTRC
NAUT8009402460201411130643LEAD00000100000012123518CUS-19801530               HIS2N60*MRYMXTICBMT
NAUT8009402460201411130926LEAD00000100000048124313CUS-19801877               HIS2N60*MRYMXTICBMT
NAUT8009402460201411131227LEAD00000100000092877951CUS-19802344               HIS2N60*MRYMXTICBMT
NAUT8009402460201411131238LEAD00000100000062812618CUS-12431906               HIS2N60*MRYMXTICBMT
NAUT8009402460201411131657LEAD00000100000033185305CUS-19802821               HIS2N60*MRYMXTICBMT
