US Short Form Leads
NAUT8006508911201509301134LEAD00000100000045426937CUS-20407023               SPKEN120HAMBYTICBMT
NAUT8006508911201509301134LEAD00000100000074951918CUS-20407022               SPKEN120HAMBYTICBMT
NAUT8006508911201509301137LEAD00000100000061111779CUS-20407030               SPKEN120HAMBYTICBMT
NAUT8006508911201509301140LEAD00000100000070058504CUS-20407024               SPKEN120HAMBYTICBMT
NAUT8006508911201509301412LEAD00000100000078664512CUS-20407156               SPKEN120HAMBYTICBMT
NAUT8006520108201509300848LEAD00000100000061088815CUS-20406858               INSPN180ALOHATICTRC
NAUT8006520108201509301633LEAD00000100000077656409CUS-20407232               INSPN180ALOHATICTRC
NAUT8006520108201509301634LEAD00000100000027870525CUS-20407234               INSPN180ALOHATICTRC
NAUT8006520108201509301635LEAD00000100000038871662CUS-20407235               INSPN180ALOHATICTRC
NAUT8006520108201509301638LEAD00000100000036877706CUS-20407238               INSPN180ALOHATICTRC
NAUT8006520108201509301647LEAD00000100000028016704CUS-20407242               INSPN180ALOHATICTRC
NAUT8006586984201509301244LEAD00000100000067213316CUS-20407104               DTVLN60*WALKATICTRC
NAUT8006586984201509301248LEAD00000100000059526406CUS-13269773               DTVLN60*WALKATICBMT
NAUT8007110152201509301236LEAD00000100000030052404CUS-20407094               PUREN180HAMF*TICBMT
NAUT8007609690201509300651LEAD00000100000038332731CUS-20406742               GAMEN120ALOBYTICTRC
NAUT8007609690201509300651LEAD00000100000076108817CUS-20406743               GAMEN120ALOBYTICTRC
NAUT8007609690201509300657LEAD00000100000030721706CUS-5109766               GAMEN120ALOBYTICTRC
NAUT8007609690201509300725LEAD00000100000049684231CUS-20406769               GAMEN120ALOBYTICTRC
NAUT8007609690201509301353LEAD00000100000030038678CUS-20407144               GAMEN120ALOBYTICTRC
NAUT8007632060201509300640LEAD00000100000012164518CUS-20406720               HMM*N120ALOBYTICTRC
NAUT8007632060201509301058LEAD00000100000011236718CUS-20406984               HMM*N120ALOBYTICTRC
NAUT8007632060201509301058LEAD00000100000098550360CUS-20406983               HMM*N120ALOBYTICTRC
NAUT8007632060201509301102LEAD00000100000041539606CUS-20406989               HMM*N120ALOBYTICTRC
NAUT8007638070201509301253LEAD00000100000064089816CUS-13174521               DISNN60*HAMF*TICBMT
NAUT8008204560201509301850LEAD00000100000052302319CUS-20407306               FOXNN120ALOBYTICTRC
NAUT8008731614201509301402LEAD00000100000048161734CUS-20294137               VEL*N180HAMF*TICBMT
NAUT8009213024201510010108LEAD00000100000060653708CUS-20407386               M616P60*NOTSTTICBMT
NAUT8009213028201509300546LEAD00000100000028677954CUS-20406691               M617P60*NOTSTTICBMT
NAUT8009260864201509301157LEAD00000100000095205209CUS-20407054               IONLN180ALOHATICTRC
NAUT8009260864201509301431LEAD00000100000090023213CUS-20407170               IONLN180ALOHATICTRC
NAUT8009526851201509301252LEAD00000100000037073615CUS-20407114               PIVTN180HAMF*TICBMT
NAUT8009526851201509301336LEAD00000100000077806979CUS-2681131               PIVTN180HAMF*TICBMT
NAUT8009526851201509301935LEAD00000100000092583951CUS-12716956               PIVTN180HAMF*TICBMT
NAUT8009531983201509301151LEAD00000100000039402601CUS-19920569               RELZ*N120HAMBYTICBMT
NAUT8009532920201509301336LEAD00000100000048203313CUS-20407136               TVLDN60*ALONYTICTRC
