US Short Form Leads
NAUT8006508911201507020727LEAD00000100000085747520CUS-20279453               SPKEN120HAMBYTICBMT
NAUT8006508911201507020912LEAD00000100000033030786CUS-20279611               SPKEN120HAMBYTICBMT
NAUT8006508911201507020913LEAD00000100000002920401CUS-20279612               SPKEN120HAMBYTICBMT
NAUT8006514043201507021146LEAD00000100000032976856CUS-20279866               DISEN60*WALKATICTRC
NAUT8006514043201507021405LEAD00000100000062203618CUS-20280057               DISEN60*WALKATICTRC
NAUT8006514043201507021548LEAD00000100000032310850CUS-20280211               DISEN60*WALKATICTRC
NAUT8006514043201507021550LEAD00000100000030523706CUS-10172398               DISEN60*WALKATICTRC
NAUT8006520108201507020919LEAD00000100000043526419CUS-20279619               INSPN180ALOHATICTRC
NAUT8006520108201507021630LEAD00000100000023228804CUS-20280265               INSPN180ALOHATICTRC
NAUT8006520108201507021642LEAD00000100000020711804CUS-20280278               INSPN180ALOHATICTRC
NAUT8006586984201507020755LEAD00000100000031217478CUS-20279479               DTVLN60*WALKATICTRC
NAUT8006586984201507021018LEAD00000100000024281865CUS-20279697               DTVLN60*WALKATICTRC
NAUT8006586984201507021026LEAD00000100000050402641CUS-20279711               DTVLN60*WALKATICTRC
NAUT8007075269201507021233LEAD00000100000036256256CUS-20279942               DISMN60*HAMF*TICBMT
NAUT8007075269201507021647LEAD00000100000027205336CUS-20280284               DISMN60*HAMF*TICBMT
NAUT8007110152201507020647LEAD00000100000016314814CUS-20279407               PUREN180HAMF*TICBMT
NAUT8007116190201507020627LEAD00000100000030281678CUS-20279381               HERON120HAMBYTICBMT
NAUT8007116190201507020635LEAD00000100000016601814CUS-20279385               HERON120HAMBYTICBMT
NAUT8007116190201507020635LEAD00000100000088337575CUS-20279395               HERON120HAMBYTICBMT
NAUT8007116190201507020743LEAD00000100000017201717CUS-20279473               HERON120HAMBYTICBMT
NAUT8007116190201507020744LEAD00000100000023608757CUS-20279471               HERON120HAMBYTICBMT
NAUT8007171553201507021228LEAD00000100000029412843CUS-20279935               IFC*N120HAMBYTICBMT
NAUT8007171553201507021256LEAD00000100000075835936CUS-12747234               IFC*N120HAMBYTICBMT
NAUT8007632060201507020706LEAD00000100000030041678CUS-20279427               HMM*N120ALOBYTICTRC
NAUT8008204560201507020037LEAD00000100000096096530CUS-20279290               FOXNN120ALOBYTICTRC
NAUT8008204560201507020538LEAD00000100000090210310CUS-20279367               FOXNN120ALOBYTICTRC
NAUT8008204560201507020539LEAD00000100000092234510CUS-20279368               FOXNN120ALOBYTICTRC
NAUT8008204560201507030035LEAD00000100000043222614CUS-20280608               FOXNN120ALOBYTICTRC
NAUT8008204560201507030136LEAD00000100000030023770CUS-20280624               FOXNN120ALOBYTICTRC
NAUT8008204560201507030136LEAD00000100000077584713CUS-20280626               FOXNN120ALOBYTICTRC
NAUT8008491715201507020930LEAD00000100000019013484CUS-20279632               CI**N5MINFIVE*TICTRC
NAUT8008731614201507020637LEAD00000100000055396970CUS-20279400               VEL*N180HAMF*TICBMT
NAUT8008731614201507021017LEAD00000100000034105239CUS-20279702               VEL*N180HAMF*TICBMT
NAUT8008731614201507021042LEAD00000100000011358347CUS-20279736               VEL*N180HAMF*TICBMT
NAUT8008731614201507021046LEAD00000100000030103770CUS-20279749               VEL*N180HAMF*TICBMT
NAUT8008731614201507021101LEAD00000100000092544805CUS-20279757               VEL*N180HAMF*TICBMT
NAUT8008731614201507021321LEAD00000100000054984920CUS-15972372               VEL*N180HAMF*TICBMT
NAUT8008731614201507021356LEAD00000100000002861401CUS-5886361               VEL*N180HAMF*TICBMT
NAUT8008731614201507021434LEAD00000100000035901256CUS-11204414               VEL*N180HAMF*TICBMT
NAUT8008731614201507021440LEAD00000100000024112276CUS-20280097               VEL*N180HAMF*TICBMT
NAUT8008869436201507021453LEAD00000100000094558707CUS-6016013               PALLN120HAMBYTICBMT
NAUT8008912803201507021943LEAD00000100000022546703CUS-20280447               ODORN120HAMBYTICBMT
NAUT8008912803201507021943LEAD00000100000068601402CUS-20280444               ODORN120HAMBYTICBMT
NAUT8009211618201507020536LEAD00000100000092111858CUS-20279366               M610P60*NOTSTTICBMT
NAUT8009213028201507020540LEAD00000100000080634970CUS-20279369               M617P60*NOTSTTICBMT
NAUT8009213028201507021538LEAD00000100000084042801CUS-20280193               M617P60*NOTSTTICBMT
NAUT8009213028201507022337LEAD00000100000002189781CUS-20280592               M617P60*NOTSTTICBMT
NAUT8009213034201507022337LEAD00000100000004732207CUS-20280591               M619P60*NOTSTTICBMT
NAUT8009260864201507021730LEAD00000100000023701757CUS-20280334               IONLN180ALOHATICTRC
NAUT8009315139201507020634LEAD00000100000029229803CUS-20279393               HGTVN5MINFIVE*TICTRC
NAUT8009315139201507021930LEAD00000100000064804417CUS-20280428               HGTVN5MINFIVE*TICTRC
NAUT8009357343201507022144LEAD00000100000092220951CUS-20280552               SMTHN120ALOBYTICTRC
NAUT8009521768201507020536LEAD00000100000019934302CUS-20279365               ESQ*N120HAMBYTICBMT
NAUT8009521829201507021347LEAD00000100000029501843CUS-20280026               TNTLL60*NYMAXTICBMT
NAUT8009526846201507021156LEAD00000100000054960920CUS-20279894               DWOMN60*WALKATICTRC
NAUT8009526846201507021322LEAD00000100000093534661CUS-20280000               DWOMN60*WALKATICTRC
NAUT8009526846201507021608LEAD00000100000029501843CUS-20280026               DWOMN60*WALKATICTRC
NAUT8009526846201507021652LEAD00000100000029229817CUS-20280288               DWOMN60*WALKATICTRC
NAUT8009526851201507021404LEAD00000100000078028830CUS-20280056               PIVTN180HAMF*TICBMT
NAUT8009526851201507021459LEAD00000100000031316912CUS-19998985               PIVTN180HAMF*TICBMT
NAUT8009526851201507021537LEAD00000100000091730909CUS-5590680               PIVTN180HAMF*TICBMT
NAUT8009528187201507021111LEAD00000100000070508337CUS-20279806               ESPNL60*ALOHATICTRC
NAUT8009531983201507021126LEAD00000100000056007507CUS-20279843               RELZ*N120HAMBYTICBMT
NAUT8009531983201507021649LEAD00000100000007716732CUS-695679               RELZ*N120HAMBYTICBMT
NAUT8009531983201507021651LEAD00000100000075354469CUS-20280287               RELZ*N120HAMBYTICBMT
NAUT8009531983201507021652LEAD00000100000065536573CUS-20280289               RELZ*N120HAMBYTICBMT
NAUT8009531983201507021747LEAD00000100000018505570CUS-12836346               RELZ*N120HAMBYTICBMT
NAUT8009531983201507022139LEAD00000100000072142501CUS-20280545               RELZ*N120HAMBYTICBMT
NAUT8009531983201507022331LEAD00000100000090280323CUS-20280588               RELZ*N120HAMBYTICBMT
NAUT8009579671201507020640LEAD00000100000034953772CUS-20279401               VEL*N120HAMBYTICBMT
NAUT8009579671201507021552LEAD00000100000085704520CUS-20280218               VEL*N120HAMBYTICBMT
