US Short Form Leads
NAUT8006148295201410301208LEAD00000100000030038850CUS-19778117               UPTVN120WALKATICTRC
NAUT8006148461201410300658LEAD00000100000097603530CUS-19777694               HALMN120WALKATICTRC
NAUT8006148461201410301016LEAD00000100000091950619CUS-19777976               HALMN120WALKATICTRC
NAUT8006172457201410300858LEAD00000100000015089724CUS-19777847               ION*N120WALKATICTRC
NAUT8006172457201410300859LEAD00000100000015644724CUS-19777850               ION*N120WALKATICTRC
NAUT8006172457201410300859LEAD00000100000018452713CUS-19777851               ION*N120WALKATICTRC
NAUT8006172457201410300902LEAD00000100000076039817CUS-19777859               ION*N120WALKATICTRC
NAUT8006172457201410301209LEAD00000100000064024816CUS-19778118               ION*N120WALKATICTRC
NAUT8006172457201410301426LEAD00000100000046227317CUS-19778323               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000007028973CUS-19778321               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000019465610CUS-19778319               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000020707301CUS-19778325               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000020912240CUS-19778328               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000044260330CUS-19778324               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000053120262CUS-19778327               ION*N120WALKATICTRC
NAUT8006172457201410301427LEAD00000100000077065832CUS-19778331               ION*N120WALKATICTRC
NAUT8006172457201410301428LEAD00000100000013207315CUS-19778330               ION*N120WALKATICTRC
NAUT8006172457201410301428LEAD00000100000070570CUS-19778322               ION*N120WALKATICTRC
NAUT8006172457201410301428LEAD00000100000085941928CUS-19778333               ION*N120WALKATICTRC
NAUT8006172457201410301429LEAD00000100000018901215CUS-19778334               ION*N120WALKATICTRC
NAUT8006172457201410301430LEAD00000100000088230CUS-19778332               ION*N120WALKATICTRC
NAUT8006172457201410301435LEAD00000100000002360508CUS-19778338               ION*N120WALKATICTRC
NAUT8006172457201410301442LEAD00000100000033547CUS-19778320               ION*N120WALKATICTRC
NAUT8006172457201410301729LEAD00000100000095901530CUS-19778532               ION*N120WALKATICTRC
NAUT8006172457201410301731LEAD00000100000097341541CUS-19778525               ION*N120WALKATICTRC
NAUT8006172723201410301918LEAD00000100000032043904CUS-19778647               PUREN180WALKATICTRC
NAUT8006484992201410301238LEAD00000100000038401931CUS-19778158               OXGNN120NOTSTTICBMT
NAUT8006546989201410301010LEAD00000100000060619773CUS-19777972               TNTLL60*WALKATICTRC
NAUT8006703864201410301855LEAD00000100000043725740CUS-19778622               METVN120WALKATICTRC
NAUT8006830774201410301309LEAD00000100000034668386CUS-19778207               WGN*N120GRT2HTICTRC
NAUT8007171498201410300725LEAD00000100000060651773CUS-19777711               LMN*L60*WALKATICTRC
NAUT8007171498201410300726LEAD00000100000070602337CUS-19777714               LMN*L60*WALKATICTRC
NAUT8007171498201410300734LEAD00000100000048076248CUS-19777732               LMN*L60*WALKATICTRC
NAUT8007171498201410301147LEAD00000100000079007806CUS-19778086               LMN*L60*WALKATICTRC
NAUT8007171498201410301206LEAD00000100000019958302CUS-19778116               LMN*L60*WALKATICTRC
NAUT8007317711201410300802LEAD00000100000030274404CUS-19777790               TBS*P60*GRT2HWSTTRC
NAUT8007835061201410301358LEAD00000100000033852863CUS-19778288               CLASP60*JRNEYWSTTRC
NAUT8007835119201410300803LEAD00000100000080203720CUS-19777794               CMGCP60*GRT2HWSTTRC
NAUT8007835119201410301956LEAD00000100000055803218CUS-19778677               CMGCP60*GRT2HWSTTRC
NAUT8007946602201410301955LEAD00000100000056013507CUS-19778676               CMGHP60*GRT2HWSTTRC
NAUT8008105251201410301558LEAD00000100000057382605CUS-19778448               CM24P120GRT2HWSTTRC
NAUT8008591918201410300155LEAD00000100000096837808CUS-19777598               FOXNN120WALKATICTRC
NAUT8008597360201410301256LEAD00000100000030582706CUS-19778186               ION*L60*WALKATICTRC
NAUT8008597360201410301257LEAD00000100000078064210CUS-19778188               ION*L60*WALKATICTRC
NAUT8008597360201410301325LEAD00000100000037167615CUS-19778230               ION*L60*WALKATICTRC
NAUT8008597360201410301326LEAD00000100000008865908CUS-19778231               ION*L60*WALKATICTRC
NAUT8008597360201410301357LEAD00000100000027052336CUS-19778286               ION*L60*WALKATICTRC
NAUT8008597360201410301357LEAD00000100000044408330CUS-19778287               ION*L60*WALKATICTRC
NAUT8008597360201410301557LEAD00000100000095330209CUS-19778446               ION*L60*WALKATICTRC
NAUT8008711024201410301057LEAD00000100000099743907CUS-19778033               TNT*N60*GRT2HTICTRC
NAUT8009104902201410301843LEAD00000100000089115702CUS-19606396               CHLRN120BFMAXTICBMT
NAUT8009104902201410301844LEAD00000100000063953573CUS-291924               CHLRN120BFMAXTICBMT
NAUT8009104902201410301845LEAD00000100000010458718CUS-3795285               CHLRN120BFMAXTICBMT
NAUT8009527976201410302354LEAD00000100000018510570CUS-19778767               WGN*N120WALKATICTRC
